"","X","6 1 p1_1","6 1 p2_1","6 1 p1_2","6 1 p2_2","V5","6 2 p1_1","6 2 p2_1","6 2 p1_2","6 2 p2_2","V5","6 3 p1_1","6 3 p2_1","6 3 p1_2","6 3 p2_2","V5","6 4 p1_1","6 4 p2_1","6 4 p1_2","6 4 p2_2","V5","6 5 p1_1","6 5 p2_1","6 5 p1_2","6 5 p2_2","V5","6 6 p1_1","6 6 p2_1","6 6 p1_2","6 6 p2_2","V5"
"1",1,"doje ","fukopo ","fukopo ","fukopo ","","fukopo ","fukopo ","fukopo ","fukopo ","","fukopo ","fukopo ","fukopo ","fukopo ","","doje ","fukopo ","doje ","fukopo ","","dojo ","doje ","doje ","doje ","","dojo ","doje ","fadulele ","doje ",""
"2",2,"doje ","faludelu ","faludelu ","faludelu ","","faledufo *","faludelu ","faludelu ","faludelu ","","farulele *","faludelu ","farulere *","faludelu ","","dojo ","farulele ","fadulele ","farulele ","","farulele ","fadulele ","fadulele ","fadulele ","","fadulele ","fadulele ","fadulele ","fadulele ",""
"3",3,"pilu ","neroro ","neroro ","neroro ","","neroro ","neroro ","neroro ","neroro ","","neroro ","neroro ","sonorama ","neroro ","","sonorama ","sonorama ","sonorama ","sonorama ","","samurana *","sonorama ","samurana ","sonorama ","","samurana ","samurana ","samurana ","samurana ",""
"4",4,"fukopo ","kemusije ","fukopo ","kemusije ","","fukopo ","fukopo ","fukopo ","fukopo ","","foroko *","fukopo ","fukopo ","fukopo ","","faruleke *","fukopo ","farulele ","fukopo ","","dojo ","farulele ","fadulele ","farulele ","","fadulele ","fadulele ","fadulele ","fadulele ",""
"5",5,"kemusije ","tezadu ","l *","tezadu ","","pilu ","l ","l ","l ","","farulele ","l ","fadulele *","l ","","faruleke ","fadulele ","fadulele ","fadulele ","","fadulele ","fadulele ","fadulele ","fadulele ","","fadulele ","fadulele ","fadulele ","fadulele ",""
"6",6,"pilu ","pilu ","pilu ","pilu ","","pilu ","pilu ","pilu ","pilu ","","pilu ","pilu ","pilu ","pilu ","","pilu ","pilu ","pilu ","pilu ","","fadulele ","pilu ","farulele ","pilu ","","farulele ","farulele ","farulele ","farulele ",""
"7",7,"doje ","timajeba ","doje ","timajeba ","","doje ","doje ","doje ","doje ","","doje ","doje ","doje ","doje ","","doje ","doje ","doje ","doje ","","doje ","doje ","doje ","doje ","","doje ","doje ","dojo ","doje ",""
"8",8,"kipe ","kipe ","kipe ","kipe ","","kipe ","kipe ","dojo ","kipe ","","doje ","dojo ","dojo ","dojo ","","doje ","dojo ","dojo ","dojo ","","dojo ","dojo ","doje ","dojo ","","doje ","doje ","doje ","doje ",""
"9",9,"n *","romiba ","sitonuna *","romiba ","","siturama *","sitonuna ","siturama ","sitonuna ","","sonorama ","siturama ","sonorama ","siturama ","","fadulele ","sonorama ","dojo ","sonorama ","","doje ","dojo ","dojo ","dojo ","","dojo ","dojo ","dojo ","dojo ",""
"10",10,"doje ","zisa ","k ","zisa ","","k ","k ","k ","k ","","doje ","k ","doje ","k ","","doje ","doje ","doje ","doje ","","farulele ","doje ","dojo ","doje ","","doje ","dojo ","doje ","dojo ",""
"11",11,"pilu ","doje ","dojo *","doje ","","dojo ","dojo ","dojo ","dojo ","","dojo ","dojo ","dojo ","dojo ","","dojo ","dojo ","dojo ","dojo ","","doje ","dojo ","doje ","dojo ","","doje ","doje ","doje ","doje ",""
"12",12,"neroro ","sitobuna ","k *","sitobuna ","","k ","k ","k ","k ","","sonorama *","k ","sonorama ","k ","","sonorama ","sonorama ","farulele ","sonorama ","","doje ","farulele ","dojo ","farulele ","","dojo ","dojo ","dojo ","dojo ",""
